Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-October-2014,1730.00,1730.00,1718.10,1723.20,1722.759087669280114041,4209,641,7251093.00,2573,61.13,11.90,-6.80
22-October-2014,1715.80,1736.00,1707.30,1716.30,1721.052949760266833437,9594,1472,16511782.00,2528,26.35,28.70,0.50
21-October-2014,1704.75,1716.50,1696.10,1705.60,1708.813900203665987780,3928,769,6712221.00,1720,43.79,20.40,0.85
20-October-2014,1710.00,1720.85,1691.30,1696.00,1701.974039679189531447,9476,1043,16127906.00,5983,63.14,29.55,-14.00
17-October-2014,1714.00,1729.00,1690.00,1696.90,1705.247450348899624261,5589,1045,9530628.00,1860,33.28,39.00,-17.10
16-October-2014,1701.00,1745.00,1689.95,1702.75,1730.132132689689317984,32316,2082,55910950.00,25609,79.25,55.05,1.75
14-October-2014,1685.25,1719.15,1685.25,1701.25,1707.525860867140666387,7173,1421,12248083.00,2584,36.02,33.90,16.00
13-October-2014,1700.00,1715.10,1690.05,1696.60,1702.497084254976875125,4973,790,8466518.00,2090,42.03,25.05,-3.40
10-October-2014,1734.50,1734.50,1690.80,1704.10,1708.522882343151938758,6009,1156,10266514.00,1975,32.87,43.70,-30.40
9-October-2014,1724.00,1745.45,1721.00,1726.15,1732.192910979832959869,4909,974,8503335.00,2088,42.53,24.45,2.15
8-October-2014,1735.00,1738.00,1710.30,1720.40,1726.515664773839827687,10214,1070,17634631.00,7241,70.89,27.70,-14.60
7-October-2014,1739.45,1745.00,1716.60,1735.40,1731.758327072376659153,7986,1377,13829822.00,2377,29.76,28.40,-4.05
1-October-2014,1741.10,1767.30,1720.05,1728.45,1747.787344483809837686,12137,2638,21212895.00,5522,45.50,47.25,-12.65
30-September-2014,1675.00,1748.50,1674.00,1739.55,1719.017812490352854011,32393,4988,55684144.00,9798,30.25,74.50,64.55
29-September-2014,1646.00,1669.00,1626.00,1665.25,1656.768123327812460186,7849,1585,13003973.00,2483,31.63,43.00,19.25
26-September-2014,1635.00,1647.95,1620.00,1640.55,1636.018482252141982864,8170,1226,13366271.00,2848,34.86,27.95,5.55
25-September-2014,1655.50,1675.00,1630.00,1636.70,1653.616179713340683572,14512,2048,23997278.00,4192,28.89,45.00,-18.80
24-September-2014,1625.50,1656.00,1617.35,1649.15,1640.680065021427515885,13534,1542,22204964.00,7016,51.84,38.65,23.65
23-September-2014,1654.00,1655.05,1618.05,1624.75,1629.969525801952580195,14340,1437,23373763.00,8620,60.11,37.00,-29.25
22-September-2014,1635.00,1659.00,1631.20,1652.30,1650.791666666666666666,8592,1252,14183602.00,2861,33.30,27.80,17.30
19-September-2014,1660.00,1662.50,1621.00,1625.30,1636.318500680557009737,19102,2854,31256956.00,8804,46.09,41.50,-34.70
18-September-2014,1615.00,1654.85,1615.00,1643.30,1645.122580213008238997,14929,2536,24560035.00,6081,40.73,39.85,28.30
17-September-2014,1655.00,1661.55,1581.25,1613.15,1615.733336337825048447,22189,2738,35851507.00,7842,35.34,80.30,-41.85
16-September-2014,1612.00,1680.00,1610.05,1648.60,1654.589419767473373262,36899,5896,61052695.00,12127,32.87,69.95,36.60
15-September-2014,1608.00,1615.00,1591.50,1602.10,1603.331794996356570318,8234,1548,13201834.00,2490,30.24,23.50,-5.90
12-September-2014,1595.00,1613.00,1578.00,1605.45,1600.281422033561053259,15077,1984,24127443.00,6945,46.06,35.00,10.45
11-September-2014,1574.00,1598.00,1572.45,1589.40,1594.454672506519921636,80139,1794,127778003.00,69925,87.25,25.55,15.40
10-September-2014,1574.00,1576.30,1560.75,1566.80,1568.782193725221477167,20431,1666,32051789.00,11070,54.18,15.55,-7.20
9-September-2014,1590.00,1596.00,1567.20,1570.75,1576.260131950989632422,8488,1234,13379296.00,3153,37.15,28.80,-19.25
8-September-2014,1570.00,1589.90,1559.80,1587.40,1579.004454966103518777,46465,2599,73368442.00,34097,73.38,30.10,17.40
5-September-2014,1533.95,1564.00,1531.20,1555.00,1550.950220452282747831,14062,1727,21809462.00,4602,32.73,32.80,21.05
4-September-2014,1541.00,1541.00,1520.20,1532.30,1526.911432369557992688,36108,1361,55133718.00,29511,81.73,20.80,-8.70
3-September-2014,1554.95,1554.95,1532.00,1541.85,1541.077254166206820439,9061,1286,13963701.00,3452,38.10,22.95,-13.10
2-September-2014,1553.00,1555.95,1537.00,1542.35,1545.485306406685236768,14360,1911,22193169.00,4277,29.78,18.95,-10.65
1-September-2014,1552.00,1555.00,1541.00,1546.85,1549.853880157170923379,28504,923,44177035.00,22662,79.50,14.00,-5.15
28-August-2014,1540.00,1559.00,1532.40,1539.80,1551.135462009866680322,117162,2337,181734133.00,104798,89.45,26.60,-0.20
27-August-2014,1510.10,1553.35,1510.10,1536.55,1533.435667587787288535,192881,3355,295770605.00,174026,90.22,43.25,26.45
26-August-2014,1500.50,1518.95,1500.50,1509.95,1511.344419807834441980,13530,1584,20448490.00,3962,29.28,18.45,9.45
25-August-2014,1503.50,1522.00,1492.10,1501.80,1511.117227568016411859,20473,2399,30937103.00,7108,34.72,29.90,-1.70
22-August-2014,1516.00,1520.00,1500.00,1503.20,1509.747630788842483101,59619,4256,90009644.00,28823,48.35,20.00,-12.80
21-August-2014,1478.00,1513.70,1470.00,1494.40,1475.155243102235596826,449276,4425,662751847.00,430277,95.77,43.70,16.40
20-August-2014,1496.50,1504.00,1470.00,1475.80,1486.712833827893175074,40440,2617,60122667.00,24643,60.94,34.00,-20.70
19-August-2014,1498.00,1504.00,1455.05,1485.40,1486.884872969821859494,73762,4833,109675602.00,47293,64.12,48.95,-12.60
18-August-2014,1453.90,1465.00,1446.00,1453.80,1456.692250922509225092,12195,1637,17764362.00,4778,39.18,19.00,-0.10
14-August-2014,1469.00,1476.05,1446.10,1449.00,1455.255783519081391421,23688,2159,34472099.00,14243,60.13,29.95,-20.00
13-August-2014,1483.95,1483.95,1460.55,1464.75,1469.245882505511606795,7711,1127,11329355.00,3950,51.23,23.40,-19.20
12-August-2014,1494.05,1495.00,1468.35,1474.10,1478.600197016605685336,7106,1240,10506933.00,2875,40.46,26.65,-19.95
11-August-2014,1502.00,1505.95,1476.10,1480.60,1487.418059175226122949,6523,1044,9702428.00,3070,47.06,29.85,-21.40
8-August-2014,1525.00,1528.90,1487.55,1493.45,1509.032849789424426766,10685,1600,16124016.00,5778,54.08,41.35,-31.55
7-August-2014,1525.30,1540.70,1517.00,1525.45,1528.745084745762711864,4425,840,6764697.00,1318,29.79,23.70,0.15
6-August-2014,1535.00,1548.65,1521.00,1525.60,1533.429638431505686640,11782,3565,18066868.00,6816,57.85,27.65,-9.40
5-August-2014,1554.00,1563.00,1537.10,1543.70,1547.507139827513077901,7073,2578,10945518.00,4002,56.58,25.90,-10.30
4-August-2014,1564.00,1567.05,1541.35,1553.35,1551.387115384615384615,5200,722,8067213.00,1952,37.54,25.70,-10.65
1-August-2014,1571.00,1586.00,1541.00,1547.10,1562.700883752549286199,7355,1946,11493665.00,2415,32.83,45.00,-23.90
31-July-2014,1599.50,1599.50,1555.00,1564.90,1571.242930219090821349,10361,1509,16279648.00,3507,33.85,44.50,-34.60
30-July-2014,1600.00,1610.00,1565.00,1580.55,1583.180589430894308943,9840,1420,15578497.00,2661,27.04,45.00,-19.45
28-July-2014,1642.00,1642.00,1584.00,1593.10,1599.705200281096275474,11384,1623,18211044.00,5698,50.05,58.00,-48.90
25-July-2014,1664.90,1698.00,1619.95,1631.50,1656.704128440366972477,28340,4084,46950995.00,5213,18.39,78.05,-33.40
24-July-2014,1673.50,1687.00,1656.40,1660.75,1667.871474019088016967,4715,762,7864014.00,1667,35.36,30.60,-12.75
23-July-2014,1657.50,1697.35,1649.00,1673.50,1676.443700047014574518,17016,2082,28526366.00,6166,36.24,48.35,16.00
22-July-2014,1650.00,1665.00,1631.00,1641.05,1646.421952470507779107,5849,934,9629922.00,1912,32.69,34.00,-8.95
21-July-2014,1666.00,1666.00,1645.10,1648.35,1650.412676822633297062,3676,508,6066917.00,2121,57.70,20.90,-17.65
18-July-2014,1666.00,1676.65,1640.50,1660.95,1664.969304421289777527,10653,1628,17736918.00,3591,33.71,36.15,-5.05
17-July-2014,1606.45,1669.95,1606.45,1664.65,1641.452793557201409362,27814,2030,45655368.00,20373,73.25,63.50,58.20
16-July-2014,1621.35,1621.35,1591.00,1606.45,1602.984125209614309670,8945,1100,14338693.00,4611,51.55,30.35,-14.90
15-July-2014,1592.00,1620.00,1582.20,1616.30,1605.057048984468339307,10044,1445,16121193.00,3387,33.72,37.80,24.30
